##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Kranson,Kaci",*,26,10-15,3-6,6-8,2-2,4,0,2,3,0,4,29,Scranton,Scranton_Drew_1-29-2025
33,"Quigley,Kyra",*,17,4-7,0-0,2-2,2-4,6,0,4,0,2,0,10,Scranton,Scranton_Drew_1-29-2025
20,"Lamanna,Meghan",*,25,1-5,1-5,0-0,1-2,3,1,2,0,0,1,3,Scranton,Scranton_Drew_1-29-2025
13,"Hartnett,Maddie",*,21,1-4,1-2,0-0,1-3,4,3,1,1,0,0,3,Scranton,Scranton_Drew_1-29-2025
01,"Romanowski,Kaeli",*,19,0-1,0-0,1-2,1-1,2,0,3,0,0,3,1,Scranton,Scranton_Drew_1-29-2025
15,"Bennett,Elizabeth",,20,5-9,2-2,0-0,2-3,5,0,2,0,1,2,12,Scranton,Scranton_Drew_1-29-2025
14,"Stoupakis,Natalie",,10,2-3,2-3,2-2,2-0,2,1,3,0,0,0,8,Scranton,Scranton_Drew_1-29-2025
05,"Gorski,Katie",,20,2-8,0-3,0-0,3-2,5,3,2,1,1,0,4,Scranton,Scranton_Drew_1-29-2025
12,"Sloan,Jenna",,18,2-2,0-0,0-0,0-1,1,0,3,0,0,0,4,Scranton,Scranton_Drew_1-29-2025
00,"Cieszko,Selena",,4,0-0,0-0,2-2,0-2,2,1,0,0,0,0,2,Scranton,Scranton_Drew_1-29-2025
10,"Lynch,Allie",,4,1-1,0-0,0-2,0-1,1,0,0,1,0,1,2,Scranton,Scranton_Drew_1-29-2025
22,"Halligan,Lizzie",,5,0-1,0-1,0-0,0-1,1,0,0,2,0,0,0,Scranton,Scranton_Drew_1-29-2025
24,"Francione,Marisa",,4,0-1,0-1,0-0,0-0,0,2,0,0,0,0,0,Scranton,Scranton_Drew_1-29-2025
03,"Brewer,Morgan",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Drew_1-29-2025
02,"Bender,Ashlyn",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Drew_1-29-2025
23,"Montgomery,Elyse",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Drew_1-29-2025
30,"Kraker,Sabrina",,1,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Scranton,Scranton_Drew_1-29-2025
14,"Pica,Gianna",*,27,3-12,2-6,0-0,0-4,4,2,0,2,0,1,8,Drew,Scranton_Drew_1-29-2025
30,"Diaz,Miabella",*,18,2-5,1-1,1-2,1-1,2,0,0,1,0,0,6,Drew,Scranton_Drew_1-29-2025
04,"Rachilla,Amy",*,33,1-4,1-1,1-2,1-2,3,2,4,6,0,0,4,Drew,Scranton_Drew_1-29-2025
02,"Beyer,Maddie",*,20,1-3,1-2,0-0,0-0,0,1,1,1,0,0,3,Drew,Scranton_Drew_1-29-2025
20,"Hezel,Brenna",*,25,1-3,0-0,0-0,0-1,1,4,2,0,1,0,2,Drew,Scranton_Drew_1-29-2025
24,"Altomare,Alice",,22,3-7,2-6,0-0,0-2,2,1,0,3,0,1,8,Drew,Scranton_Drew_1-29-2025
11,"Kingsley,Jocelyn",,20,1-2,0-1,0-0,0-0,0,0,1,1,0,0,2,Drew,Scranton_Drew_1-29-2025
23,"Aliotta,Olivia",,13,1-1,0-0,0-2,0-2,2,1,0,1,1,0,2,Drew,Scranton_Drew_1-29-2025
22,"Hezel,Gracie",,11,1-3,0-0,0-0,0-2,2,0,0,2,0,0,2,Drew,Scranton_Drew_1-29-2025
03,"Lalo,Isabelle",,5,1-2,0-1,0-0,0-0,0,0,1,0,0,0,2,Drew,Scranton_Drew_1-29-2025
10,"Bass,Emily",,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Scranton_Drew_1-29-2025
15,"Debenedittis,Darcy",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Scranton_Drew_1-29-2025
50,"Hartman,Mia",,1,0-1,0-1,0-0,0-0,0,1,0,0,0,1,0,Drew,Scranton_Drew_1-29-2025
12,"Schiralli,Camille",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Scranton_Drew_1-29-2025
