game_id,Team,Home/Away,Date,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Moravian_Drew_2-26-2021,Moravian,home,2-26-2021,"Madison, N.J. - Baldwin Gym","Lou Moglino, David Claudio, Kristin Kenny",200,30-72,7-16,10-13,16-26,42,17,23,17,4,9,77
Moravian_Drew_2-26-2021,Drew,away,2-26-2021,"Madison, N.J. - Baldwin Gym","Lou Moglino, David Claudio, Kristin Kenny",200,26-67,2-8,14-16,17-28,45,18,18,21,6,10,68
