game_id,Team,Home/Away,Date,Attendance,Site,Referees,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Drew University_Moravian University_2-16-2022,Drew University,home,2-16-2022,131,"Bethlehem, Pa. - Johnston Hall","Sharvez Brown, Clement Bottone, Anthony Rangel",Landmark Conference game,200,20-46,4-11,12-19,13-26,39,16,13,26,11,4,56
Drew University_Moravian University_2-16-2022,Moravian University,away,2-16-2022,131,"Bethlehem, Pa. - Johnston Hall","Sharvez Brown, Clement Bottone, Anthony Rangel",Landmark Conference game,200,24-65,5-13,13-19,16-15,31,20,16,11,4,13,66
