game_id,Team,Home/Away,Date,Attendance,Site,Referees,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Gwynedd Mercy Univ._Drew_12-29-2021,Gwynedd Mercy Univ.,home,12-29-2021,108,"Williamsport, PA","Daniel Gales,Matt Beltz,Larry Otis",2021-22 Women's Basketball. Round: 0. Drew vs Gwynedd Mercy. Played at Lamade,200,19-69,6-33,6-11,6-31,37,9,9,11,3,8,50
Gwynedd Mercy Univ._Drew_12-29-2021,Drew,away,12-29-2021,108,"Williamsport, PA","Daniel Gales,Matt Beltz,Larry Otis",2021-22 Women's Basketball. Round: 0. Drew vs Gwynedd Mercy. Played at Lamade,200,31-79,16-36,4-5,14-44,58,11,27,13,4,5,82
