game_id,Team,Home/Away,Date,Attendance,Site,Referees,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Stevens_Elizabethtown_3-3-2023,Stevens,home,3-3-2023,179,"Newport News, Va. (Freeman Center)","Taacha Brown-Drummond, Camille Johnson, Chris Boyer",NCAA Division III First Round,200,23-67,3-15,19-25,13-28,41,23,15,14,3,15,68
Stevens_Elizabethtown_3-3-2023,Elizabethtown,away,3-3-2023,179,"Newport News, Va. (Freeman Center)","Taacha Brown-Drummond, Camille Johnson, Chris Boyer",NCAA Division III First Round,200,27-63,6-16,19-28,13-35,48,18,16,17,8,10,79
