game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Scranton_Juniata Women's Basketball_2-27-2021,Scranton,home,2-27-2021,Memorial Gymnasium,200,22-53,7-22,9-12,10-34,44,18,10,21,9,9,60
Scranton_Juniata Women's Basketball_2-27-2021,Juniata Women's Basketball,away,2-27-2021,Memorial Gymnasium,200,15-64,2-21,10-18,17-23,40,12,11,19,3,6,42
