game_id,Team,Home/Away,Date,Attendance,Site,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Juniata_Elizabethtown_2-1-2023,Juniata,home,2-1-2023,200,"Elizabethtown, Pa. (Thompson Gymnasium)",Landmark Conference game,200,15-60,2-18,12-13,16-14,30,13,10,17,2,2,44
Juniata_Elizabethtown_2-1-2023,Elizabethtown,away,2-1-2023,200,"Elizabethtown, Pa. (Thompson Gymnasium)",Landmark Conference game,200,36-61,7-15,7-11,14-28,42,14,23,16,6,7,86
