game_id,Team,Home/Away,Date,Attendance,Site,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Juniata_Bethany (WV)_12-7-2021,Juniata,home,12-7-2021,105,"Bethany, WV",2021-22 Women's Basketball. Round: 0. Bethany (WV) vs Juniata. Played at Humme,200,21-58,5-17,8-11,9-25,34,21,6,20,3,9,55
Juniata_Bethany (WV)_12-7-2021,Bethany (WV),away,12-7-2021,105,"Bethany, WV",2021-22 Women's Basketball. Round: 0. Bethany (WV) vs Juniata. Played at Humme,200,21-48,9-23,14-25,7-23,30,15,10,21,3,11,65
