game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Goucher_Juniata_2-15-2025,Goucher,home,2-15-2025,Memorial Gymnasium,200,34-88,7-20,12-24,17-20,37,19,9,6,0,15,87
Goucher_Juniata_2-15-2025,Juniata,away,2-15-2025,Memorial Gymnasium,199,31-53,6-12,22-27,8-44,52,16,28,30,3,4,90
