game_id,Team,Home/Away,Date,Site,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Juniata_Hood_11-12-2022,Juniata,home,11-12-2022,"Westminster, MD",2022-23 Women's Basketball. Round: 0. Hood vs Juniata. Played at Gill Center.,200,22-59,2-18,11-16,6-30,36,19,8,24,1,11,57
Juniata_Hood_11-12-2022,Hood,away,11-12-2022,"Westminster, MD",2022-23 Women's Basketball. Round: 0. Hood vs Juniata. Played at Gill Center.,200,26-67,3-12,10-16,14-33,47,17,11,22,9,13,65
