game_id,Team,Home/Away,Date,Attendance,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
PSHW_Juniata_11-23-2021,PSHW,home,11-23-2021,87,Memorial Gymnasium,200,16-48,7-26,13-24,8-32,40,22,9,29,0,9,52
PSHW_Juniata_11-23-2021,Juniata,away,11-23-2021,87,Memorial Gymnasium,200,23-73,10-35,11-19,22-28,50,25,16,22,2,16,67
