game_id,Team,Home/Away,Date,Attendance,Site,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Wash. & Lee_Elizabethtown_12-18-2022,Wash. & Lee,home,12-18-2022,150,"Elizabethtown, Pa. (Thompson Gymnasium)",Yonnie Kauffman Blue Jay Tournament Championship,200,28-70,4-12,8-10,17-25,42,17,14,14,4,5,68
Wash. & Lee_Elizabethtown_12-18-2022,Elizabethtown,away,12-18-2022,150,"Elizabethtown, Pa. (Thompson Gymnasium)",Yonnie Kauffman Blue Jay Tournament Championship,200,32-67,6-16,10-18,16-26,42,11,16,12,2,8,80
