game_id,Team,Home/Away,Date,Attendance,Site,Referees,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Moravian_Russell Sage College_11-13-2021,Moravian,home,11-13-2021,225,"Yawkey Center, Emmanuel College, Boston","Michael Motta, Penny Watters, Thomas Giblin",2021 Emmanuel College Tip-Off Classic,200,24-62,7-24,10-14,12-20,32,21,19,19,2,11,65
Moravian_Russell Sage College_11-13-2021,Russell Sage College,away,11-13-2021,225,"Yawkey Center, Emmanuel College, Boston","Michael Motta, Penny Watters, Thomas Giblin",2021 Emmanuel College Tip-Off Classic,200,19-48,5-10,17-28,12-27,39,20,15,24,2,9,60
