game_id,Team,Home/Away,Date,Attendance,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Kean_Drew_12-30-2022,Kean,home,12-30-2022,173,"Baldwin Gym, Madison, NJ","Alyssa Hann, Bobby Hope, Michael McGoldrick",200,18-66,5-27,5-11,21-23,44,18,11,26,11,14,46
Kean_Drew_12-30-2022,Drew,away,12-30-2022,173,"Baldwin Gym, Madison, NJ","Alyssa Hann, Bobby Hope, Michael McGoldrick",200,21-61,5-12,14-22,20-28,48,12,16,25,3,16,61
