game_id,Team,Home/Away,Date,Attendance,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Susquehanna_Babson_12-29-2023,Susquehanna,home,12-29-2023,285,"Staake Gymnasium | Babson Park, MA",200,19-54,4-20,19-31,19-27,46,22,8,18,5,10,61
Susquehanna_Babson_12-29-2023,Babson,away,12-29-2023,285,"Staake Gymnasium | Babson Park, MA",200,15-60,6-21,17-21,20-20,40,21,5,18,2,8,53
