game_id,Team,Home/Away,Date,Attendance,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Saint Elizabeth_Drew_11-15-2022,Saint Elizabeth,home,11-15-2022,105,"Baldwin Gym, Madison, NJ","Chad  Johnson, Michael McGoldrick, Paolo Trujillo",200,18-58,1-15,9-17,13-18,31,22,7,21,1,14,46
Saint Elizabeth_Drew_11-15-2022,Drew,away,11-15-2022,105,"Baldwin Gym, Madison, NJ","Chad  Johnson, Michael McGoldrick, Paolo Trujillo",200,27-58,4-22,16-24,18-30,48,18,22,21,3,13,74
