game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
King's (Pa.)_Juniata_12-30-2024,King's (Pa.),home,12-30-2024,Memorial Gymnasiumm,200,19-62,6-21,11-18,7-29,36,14,12,14,2,8,55
King's (Pa.)_Juniata_12-30-2024,Juniata,away,12-30-2024,Memorial Gymnasiumm,201,27-62,3-16,13-18,10-40,50,15,12,14,2,8,70
