game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Catholic_Trinity Washington_11-8-2023,Catholic,home,11-8-2023,"Washington, D.C. (Tiger Arena)",198,38-67,6-15,11-16,13-24,37,15,22,19,4,20,93
Catholic_Trinity Washington_11-8-2023,Trinity Washington,away,11-8-2023,"Washington, D.C. (Tiger Arena)",192,17-48,4-13,9-12,8-19,27,15,7,35,0,8,47
