game_id,Team,Home/Away,Date,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Catholic_Moravian_2-12-2021,Catholic,home,2-12-2021,"Johnston Hall - Bethlehem, Pa.","Gina Catanzariti, Aaron Rush, Andrew Rogers",200,22-52,2-10,15-23,10-29,39,17,12,24,5,10,61
Catholic_Moravian_2-12-2021,Moravian,away,2-12-2021,"Johnston Hall - Bethlehem, Pa.","Gina Catanzariti, Aaron Rush, Andrew Rogers",200,19-62,6-18,10-13,13-23,36,25,11,23,5,13,54
