game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Moravian_Drew_1-15-2023,Moravian,home,1-15-2023,"The Palestra, Philadelphia, PA",200,16-67,1-18,18-22,24-18,42,24,11,15,1,11,51
Moravian_Drew_1-15-2023,Drew,away,1-15-2023,"The Palestra, Philadelphia, PA",200,17-42,3-11,22-25,7-29,36,21,13,22,3,8,59
