game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Catholic_Juniata_1-19-2022,Catholic,home,1-19-2022,"Huntingdon, Pa.",200,32-66,5-16,10-17,20-27,47,11,17,19,4,17,79
Catholic_Juniata_1-19-2022,Juniata,away,1-19-2022,"Huntingdon, Pa.",200,17-55,4-22,5-6,11-18,29,13,14,26,2,7,43
