game_id,Team,Home/Away,Date,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Drew_Catholic_2-5-2021,Drew,home,2-5-2021,"Washington, D.C. - Franny Murray Court","Joseph Emerson, Jennifer Carter, Ganei Tucker",200,27-72,5-20,17-19,23-36,59,17,15,27,4,8,76
Drew_Catholic_2-5-2021,Catholic,away,2-5-2021,"Washington, D.C. - Franny Murray Court","Joseph Emerson, Jennifer Carter, Ganei Tucker",200,25-79,5-21,16-22,20-24,44,19,17,16,5,14,71
