game_id,Team,Home/Away,Date,Attendance,Site,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Delaware Valley_Elizabethtown_12-17-2022,Delaware Valley,home,12-17-2022,150,"Elizabethtown, Pa. (Thompson Gymnasium)",Yonnie Kauffman Blue Jay Tournament,200,24-52,1-9,10-13,6-17,23,16,15,22,4,9,59
Delaware Valley_Elizabethtown_12-17-2022,Elizabethtown,away,12-17-2022,150,"Elizabethtown, Pa. (Thompson Gymnasium)",Yonnie Kauffman Blue Jay Tournament,200,37-75,5-14,5-6,21-24,45,16,20,15,1,11,84
