game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Elizabethtown_Juniata_2-9-2022,Elizabethtown,home,2-9-2022,Memorial Gymnasium,200,24-59,7-17,25-30,16-23,39,21,15,22,2,11,80
Elizabethtown_Juniata_2-9-2022,Juniata,away,2-9-2022,Memorial Gymnasium,200,23-62,4-21,13-18,19-22,41,22,13,24,1,13,63
