game_id,Team,Home/Away,Date,Attendance,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Goucher_Moravian_1-8-2022,Goucher,home,1-8-2022,89,Johnston Hall,"Anthony Stevenson, Lashelle Brice, Darren Foster",200,12-44,1-4,8-13,1-14,15,14,6,23,1,7,33
Goucher_Moravian_1-8-2022,Moravian,away,1-8-2022,89,Johnston Hall,"Anthony Stevenson, Lashelle Brice, Darren Foster",200,34-59,3-10,9-14,12-34,46,14,24,19,2,14,80
