game_id,Team,Home/Away,Date,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Susquehanna_WPI_12-31-2021,Susquehanna,home,12-31-2021,"Harrington Auditorium - Worcester, MA","Jessica Smith, Kevin Lecuyer, Greg Taylor",200,22-52,9-25,4-6,6-20,26,11,10,16,3,5,57
Susquehanna_WPI_12-31-2021,WPI,away,12-31-2021,"Harrington Auditorium - Worcester, MA","Jessica Smith, Kevin Lecuyer, Greg Taylor",200,30-63,6-16,7-10,15-26,41,15,17,13,1,8,73
