game_id,Team,Home/Away,Date,Site,Referees,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Scranton_Colby_12-30-2024,Scranton,home,12-30-2024,"Ocean Center/Daytona Beach, Fla.","Charlene Pham, Kat Reine, Caitlin Brink",Florida Sunshine Shootout,200,27-58,6-18,17-20,11-28,39,17,13,7,2,16,77
Scranton_Colby_12-30-2024,Colby,away,12-30-2024,"Ocean Center/Daytona Beach, Fla.","Charlene Pham, Kat Reine, Caitlin Brink",Florida Sunshine Shootout,200,12-47,6-21,18-26,10-20,30,13,8,19,1,4,48
