game_id,Team,Home/Away,Date,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Stevens_Drew_3-11-2021,Stevens,home,3-11-2021,"Madison, N.J. - Baldwin Gym","Ashley Olson, Laura Isabelle, Meg Dallmann",200,30-73,10-23,14-21,24-22,46,14,20,14,3,12,84
Stevens_Drew_3-11-2021,Drew,away,3-11-2021,"Madison, N.J. - Baldwin Gym","Ashley Olson, Laura Isabelle, Meg Dallmann",200,31-66,4-12,13-17,15-22,37,20,13,16,3,10,79
