game_id,Team,Home/Away,Date,Attendance,Site,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Catholic_York (Pa.)_11-13-2022,Catholic,home,11-13-2022,231,"York, Pa. - Charles Wolf Gymnasium",Game Four of the 15th Annual Coaches vs. Cancer Classic,200,24-66,8-29,11-13,13-29,42,11,12,9,5,7,67
Catholic_York (Pa.)_11-13-2022,York (Pa.),away,11-13-2022,231,"York, Pa. - Charles Wolf Gymnasium",Game Four of the 15th Annual Coaches vs. Cancer Classic,200,18-52,10-21,8-14,8-31,39,19,14,17,2,7,54
