game_id,Team,Home/Away,Date,Attendance,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Wilkes_Susquehanna_1-12-2024,Wilkes,home,1-12-2024,255,"O. W. Houts Gymnasium, Selinsgrove, PA",200,18-57,3-14,10-15,10-23,33,22,10,18,8,7,49
Wilkes_Susquehanna_1-12-2024,Susquehanna,away,1-12-2024,255,"O. W. Houts Gymnasium, Selinsgrove, PA",200,23-56,5-20,14-19,14-33,47,17,15,20,11,8,65
