game_id,Team,Home/Away,Date,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Susquehanna_Bates_12-30-2021,Susquehanna,home,12-30-2021,"Harrington Auditorium- Worcester, MA","Larry Ruffing, Heather Durbrow, Matthew LaBlanc",200,28-58,5-13,11-14,10-27,37,12,16,17,3,7,72
Susquehanna_Bates_12-30-2021,Bates,away,12-30-2021,"Harrington Auditorium- Worcester, MA","Larry Ruffing, Heather Durbrow, Matthew LaBlanc",197,29-67,8-17,1-2,12-20,32,16,13,16,2,4,67
