game_id,Team,Home/Away,Date,Attendance,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Susquehanna_Colby_12-30-2023,Susquehanna,home,12-30-2023,205,"Staake Gymnaisum | Babson Park, MA",200,25-57,6-17,13-14,9-25,34,19,12,13,1,5,69
Susquehanna_Colby_12-30-2023,Colby,away,12-30-2023,205,"Staake Gymnaisum | Babson Park, MA",200,18-55,7-19,16-21,12-20,32,17,7,14,4,5,59
