game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Drew_Catholic_1-15-2022,Drew,home,1-15-2022,"Washington, D.C. - Franny Murray Court",200,21-59,2-9,8-14,16-27,43,14,12,18,4,4,52
Drew_Catholic_1-15-2022,Catholic,away,1-15-2022,"Washington, D.C. - Franny Murray Court",201,19-60,6-20,14-20,16-26,42,12,9,13,5,11,58
