game_id,Team,Home/Away,Date,Attendance,Site,Referees,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Elizabethtown_Franklin & Marshall_11-13-2022,Elizabethtown,home,11-13-2022,98,"Lancaster, Pa. (Mayser Center)","Chantal Thomas,Craig Morancie,Lamar Diamond",Terry Greene Tip-Off Classic Championships,200,22-66,3-10,11-18,22-23,45,11,9,8,2,7,58
Elizabethtown_Franklin & Marshall_11-13-2022,Franklin & Marshall,away,11-13-2022,98,"Lancaster, Pa. (Mayser Center)","Chantal Thomas,Craig Morancie,Lamar Diamond",Terry Greene Tip-Off Classic Championships,200,18-50,3-16,6-10,11-24,35,15,10,17,10,3,45
