game_id,Team,Home/Away,Date,Attendance,Site,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Elizabethtown_Susquehanna_12-3-2022,Elizabethtown,home,12-3-2022,276,"Selinsgrove, Pa. (O.W. Houts Gymnasium)",Landmark Conference game,200,23-58,5-17,19-29,22-19,41,14,12,16,5,10,70
Elizabethtown_Susquehanna_12-3-2022,Susquehanna,away,12-3-2022,276,"Selinsgrove, Pa. (O.W. Houts Gymnasium)",Landmark Conference game,200,21-53,5-13,6-10,15-21,36,23,12,20,6,9,53
