game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Catholic_Juniata_2-9-2021,Catholic,home,2-9-2021,"Memorial Gymnasium - Huntingdon, Pa.",200,33-64,4-14,9-17,15-21,36,15,21,22,2,14,79
Catholic_Juniata_2-9-2021,Juniata,away,2-9-2021,"Memorial Gymnasium - Huntingdon, Pa.",200,28-61,6-19,9-12,14-21,35,20,18,24,4,10,71
