game_id,Team,Home/Away,Date,Attendance,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Elizabethtown_Juniata_12-16-2023,Elizabethtown,home,12-16-2023,137,"Huntingdon, Pa. (Memorial Gymnasium)",200,27-60,6-16,5-6,12-25,37,11,16,18,5,12,65
Elizabethtown_Juniata_12-16-2023,Juniata,away,12-16-2023,137,"Huntingdon, Pa. (Memorial Gymnasium)",200,15-54,4-20,3-9,17-22,39,12,6,26,2,6,37
