game_id,Team,Home/Away,Date,Attendance,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Moravian_Scranton_2-22-2023,Moravian,home,2-22-2023,478,"John Long Center, Scranton, PA","Colleen Dorosh, Joe  Bleacher, Laura Isabelle",200,11-57,4-21,5-10,13-27,40,8,6,20,1,10,31
Moravian_Scranton_2-22-2023,Scranton,away,2-22-2023,478,"John Long Center, Scranton, PA","Colleen Dorosh, Joe  Bleacher, Laura Isabelle",200,23-61,8-32,4-5,11-35,46,13,16,17,5,9,58
