game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Lycoming_Juniata_1-31-2024,Lycoming,home,1-31-2024,Memorial Gymnasium,200,21-59,4-18,18-23,16-20,36,12,10,12,2,10,64
Lycoming_Juniata_1-31-2024,Juniata,away,1-31-2024,Memorial Gymnasium,200,30-60,4-17,7-8,10-24,34,18,17,13,2,7,71
