game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
DREW_Juniata Women's Basketball_2-21-2021,DREW,home,2-21-2021,Memorial Gymnasium,200,27-57,3-17,23-31,8-32,40,23,15,17,7,16,80
DREW_Juniata Women's Basketball_2-21-2021,Juniata Women's Basketball,away,2-21-2021,Memorial Gymnasium,200,23-71,3-12,10-18,21-25,46,19,16,23,2,9,59
