game_id,Team,Home/Away,Date,Attendance,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Shenandoah_Catholic_11-19-2023,Shenandoah,home,11-19-2023,125,"Crenshaw Gymnasium, Ashland, VA",200,20-62,6-22,11-17,14-20,34,6,11,14,3,10,57
Shenandoah_Catholic_11-19-2023,Catholic,away,11-19-2023,125,"Crenshaw Gymnasium, Ashland, VA",200,28-56,13-24,1-2,9-31,40,16,17,20,2,11,70
