game_id,Team,Home/Away,Date,Attendance,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Elizabethtown_Catholic_11-20-2024,Elizabethtown,home,11-20-2024,187,"Washington, DC (Franny Murray Court)","Isaac Bumgardner,Chantal Thomas,Nate Dotson",200,28-65,5-23,12-15,14-36,50,19,10,19,4,5,73
Elizabethtown_Catholic_11-20-2024,Catholic,away,11-20-2024,187,"Washington, DC (Franny Murray Court)","Isaac Bumgardner,Chantal Thomas,Nate Dotson",200,22-74,6-17,19-23,14-24,38,19,7,9,6,13,69
