game_id,Team,Home/Away,Date,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
RIT_Catholic_11-16-2024,RIT,home,11-16-2024,"Michael P. O'Brien Athletics & Recreation Center Arena, Saint Marys City, MD","Cheyenne Jennings, Demarcus Hubbard, Kristie Watkins-Day",200,14-59,6-24,9-14,9-30,39,16,10,16,1,4,43
RIT_Catholic_11-16-2024,Catholic,away,11-16-2024,"Michael P. O'Brien Athletics & Recreation Center Arena, Saint Marys City, MD","Cheyenne Jennings, Demarcus Hubbard, Kristie Watkins-Day",200,31-73,11-34,11-14,14-39,53,17,17,8,3,8,84
