game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Juniata_Penn State-Harrisburg_11-27-2022,Juniata,home,11-27-2022,Capital Union Building,226,17-58,4-20,27-33,16-35,51,21,10,26,2,13,65
Juniata_Penn State-Harrisburg_11-27-2022,Penn State-Harrisburg,away,11-27-2022,Capital Union Building,224,22-61,8-30,10-21,10-27,37,28,11,25,1,10,62
