game_id,Team,Home/Away,Date,Attendance,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
DREW_Medgar Evers College_12-8-2022,DREW,home,12-8-2022,75,"Brooklyn, NY",200,39-68,7-18,11-17,12-32,44,9,28,20,3,21,96
DREW_Medgar Evers College_12-8-2022,Medgar Evers College,away,12-8-2022,75,"Brooklyn, NY",200,14-56,1-13,7-14,14-21,35,14,6,30,3,10,36
