game_id,Team,Home/Away,Date,Attendance,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Dickinson_Catholic_11-8-2022,Dickinson,home,11-8-2022,135,"Franny Murray Court, Washington, DC","Kenya Kirkland, Lauren Dottin, Isaac Bumgardner",200,20-58,2-10,5-10,10-22,32,21,11,16,3,11,47
Dickinson_Catholic_11-8-2022,Catholic,away,11-8-2022,135,"Franny Murray Court, Washington, DC","Kenya Kirkland, Lauren Dottin, Isaac Bumgardner",200,19-52,3-9,14-17,11-31,42,10,5,21,0,10,55
