game_id,Team,Home/Away,Date,Attendance,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Susquehanna_Juniata_2-8-2023,Susquehanna,home,2-8-2023,187,Memorial Gymnasium,200,13-52,5-19,12-19,13-33,46,12,10,16,4,12,43
Susquehanna_Juniata_2-8-2023,Juniata,away,2-8-2023,187,Memorial Gymnasium,200,11-54,4-21,6-6,10-28,38,19,5,17,2,9,32
