game_id,Team,Home/Away,Date,Attendance,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Elizabethtown_Moravian_1-12-2024,Elizabethtown,home,1-12-2024,112,"Bethlehem, Pa. (Johnston Hall)","Phil Benson,Jennifer Horvatinovic,Sharvez Brown",200,29-50,6-12,12-14,12-26,38,12,21,18,8,8,76
Elizabethtown_Moravian_1-12-2024,Moravian,away,1-12-2024,112,"Bethlehem, Pa. (Johnston Hall)","Phil Benson,Jennifer Horvatinovic,Sharvez Brown",200,15-52,7-13,9-14,13-9,22,15,11,17,5,9,46
