game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Susquehanna_Scranton_1-15-2023,Susquehanna,home,1-15-2023,"The Palestra, Philadelphia, PA",200,18-58,6-19,6-12,11-30,41,18,15,19,3,8,48
Susquehanna_Scranton_1-15-2023,Scranton,away,1-15-2023,"The Palestra, Philadelphia, PA",190,21-69,7-21,15-15,18-34,52,12,12,12,1,14,64
