game_id,Team,Home/Away,Date,Attendance,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Elizabethtown_Lycoming_12-2-2023,Elizabethtown,home,12-2-2023,377,"Williamsport, Pa. (Lamade Gymnasium)","Mike Kuhn,Tyler Brown Sr.,David Claudio",200,32-68,10-22,10-14,17-22,39,13,21,9,4,10,84
Elizabethtown_Lycoming_12-2-2023,Lycoming,away,12-2-2023,377,"Williamsport, Pa. (Lamade Gymnasium)","Mike Kuhn,Tyler Brown Sr.,David Claudio",200,20-56,5-16,6-8,14-21,35,13,11,22,8,4,51
