game_id,Team,Home/Away,Date,Attendance,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Rhode Island Col._Scranton_3-4-2023,Rhode Island Col.,home,3-4-2023,746,"John Long Center, Scranton, PA",200,23-51,3-9,13-20,9-37,46,17,8,13,3,1,62
Rhode Island Col._Scranton_3-4-2023,Scranton,away,3-4-2023,746,"John Long Center, Scranton, PA",200,17-63,3-18,18-20,10-21,31,15,4,5,6,6,55
