game_id,Team,Home/Away,Date,Site,Referees,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Catholic_Goucher_1-26-2022,Catholic,home,1-26-2022,"Decker Sports & Recreation Center, Towson, MD","Shaolin Crawford, Anthony Rangel, Chris McMichael",200,25-67,6-23,10-12,23-27,50,13,8,17,2,9,66
Catholic_Goucher_1-26-2022,Goucher,away,1-26-2022,"Decker Sports & Recreation Center, Towson, MD","Shaolin Crawford, Anthony Rangel, Chris McMichael",200,16-57,3-11,9-10,14-21,35,14,11,19,3,7,44
