game_id,Team,Home/Away,Date,Site,Referees,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Drew_Yeshiva_3-8-2021,Drew,home,3-8-2021,"New York, NY","Mickeni Caldwell,Michael Mei,Shanade Bernard",2020-21 Women's Basketball. Round: 0. Drew vs Yeshiva. Played at Max Stern Ath,200,28-65,5-15,17-29,17-28,45,12,18,17,1,16,78
Drew_Yeshiva_3-8-2021,Yeshiva,away,3-8-2021,"New York, NY","Mickeni Caldwell,Michael Mei,Shanade Bernard",2020-21 Women's Basketball. Round: 0. Drew vs Yeshiva. Played at Max Stern Ath,200,14-58,2-15,6-8,17-25,42,19,6,32,3,7,36
