game_id,Team,Home/Away,Date,Attendance,Site,Referees,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
St. Joseph (Conn.)_Moravian University_12-31-2022,St. Joseph (Conn.),home,12-31-2022,111,"Johnston Hall, Bethlehem, PA","Mark Horn, Kristin Kenny, David Gnall",19th Steel Club Classic,200,19-73,2-12,10-17,18-29,47,18,12,21,3,4,50
St. Joseph (Conn.)_Moravian University_12-31-2022,Moravian University,away,12-31-2022,111,"Johnston Hall, Bethlehem, PA","Mark Horn, Kristin Kenny, David Gnall",19th Steel Club Classic,200,28-68,1-6,14-25,18-39,57,18,16,18,4,16,71
