game_id,Team,Home/Away,Date,Attendance,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Goucher_Catholic_1-17-2024,Goucher,home,1-17-2024,78,"Franny Murray Court, Washington, DC",200,18-61,8-31,9-20,12-28,40,15,11,24,0,10,53
Goucher_Catholic_1-17-2024,Catholic,away,1-17-2024,78,"Franny Murray Court, Washington, DC",200,36-82,7-28,16-17,18-36,54,15,25,15,0,16,95
