game_id,Team,Home/Away,Date,Attendance,Site,Referees,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Haverford_Elizabethtown_11-13-2021,Haverford,home,11-13-2021,88,"Lancaster, Pa. (Mayser Center)","Anthony Rangel,Daryl Wedge,Margaret Husssey",Win No. 1100 for Elizabethtown; second in Div III to reach the milestone,200,25-66,0-17,7-14,11-21,32,22,8,12,2,8,57
Haverford_Elizabethtown_11-13-2021,Elizabethtown,away,11-13-2021,88,"Lancaster, Pa. (Mayser Center)","Anthony Rangel,Daryl Wedge,Margaret Husssey",Win No. 1100 for Elizabethtown; second in Div III to reach the milestone,200,23-50,3-10,19-26,8-33,41,11,15,18,1,2,68
