game_id,Team,Home/Away,Date,Attendance,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Lycoming_Juniata_11-19-2024,Lycoming,home,11-19-2024,187,Memorial Gymnasium,200,20-54,1-8,16-21,9-31,40,16,8,23,2,6,57
Lycoming_Juniata_11-19-2024,Juniata,away,11-19-2024,187,Memorial Gymnasium,200,25-76,4-19,12-17,22-26,48,17,14,14,8,11,66
