game_id,Team,Home/Away,Date,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
MORAVIAN_Juniata Women's Basketball_2-5-2021,MORAVIAN,home,2-5-2021,Memorial Gymnasium,201,23-61,4-16,18-21,9-30,39,16,10,12,7,12,68
MORAVIAN_Juniata Women's Basketball_2-5-2021,Juniata Women's Basketball,away,2-5-2021,Memorial Gymnasium,200,23-68,4-17,7-9,17-29,46,18,22,19,2,4,57
