game_id,Team,Home/Away,Date,Attendance,Site,Referees,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Univ. of Scranton_Moravian College_2-9-2021,Univ. of Scranton,home,2-9-2021,21,"Bethlehem, Pa. - Johnston Hall","Karen Pammer, David Claudio, Melinda Moore",Landmark Conference game,200,18-53,5-23,15-18,13-36,49,20,9,18,11,5,56
Univ. of Scranton_Moravian College_2-9-2021,Moravian College,away,2-9-2021,21,"Bethlehem, Pa. - Johnston Hall","Karen Pammer, David Claudio, Melinda Moore",Landmark Conference game,200,16-65,3-14,12-19,15-23,38,14,6,8,4,13,47
