game_id,Team,Home/Away,Date,Attendance,Site,Notes,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Moravian University_York (Pa.) College_11-12-2022,Moravian University,home,11-12-2022,310,"York, Pa. - Charles Wolf Gym",Game One of the 15th Annual Coaches vs. Cancer Classic,200,18-64,2-10,14-19,20-29,49,12,10,14,3,9,52
Moravian University_York (Pa.) College_11-12-2022,York (Pa.) College,away,11-12-2022,310,"York, Pa. - Charles Wolf Gym",Game One of the 15th Annual Coaches vs. Cancer Classic,200,20-63,2-25,2-2,14-27,41,20,12,18,3,8,44
