game_id,Team,Home/Away,Date,Attendance,Site,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Oberlin_Juniata_12-30-2022,Oberlin,home,12-30-2022,120,Memorial Gymnasium,200,27-67,8-21,9-12,17-35,52,18,20,18,9,9,71
Oberlin_Juniata_12-30-2022,Juniata,away,12-30-2022,120,Memorial Gymnasium,200,19-69,5-24,12-17,18-24,42,15,11,14,0,9,55
